segment	fivePrime_1	threePrime_1	fivePrime_2	threePrime_2	counts
PB1_vRNA	372	2015	2148	2195	2
PB1_vRNA	372	2015	2149	2195	2
PB1_vRNA	372	2015	2150	2195	2
PB1_vRNA	372	2015	2150	2197	14
PB1_vRNA	372	2015	2151	2197	3
PB1_vRNA	372	2015	2152	2195	2333
PB1_vRNA	372	2015	2152	2198	15
PB1_vRNA	372	2015	2153	2196	2
PB1_vRNA	372	2015	2274	2286	18
PB1_vRNA	372	2015	2274	2287	252
PB1_vRNA	372	2015	2275	2288	1
PB1_vRNA	372	2015	2276	2289	1
PB1_vRNA	372	2015	2277	2290	1
PB1_vRNA	372	2015	2278	2290	1
PB1_vRNA	372	2017	2152	2195	1
PB1_vRNA	373	2016	2152	2195	2
PB1_vRNA	374	2019	2152	2195	1
PB1_vRNA	377	1913	1938	2008	1
PB1_vRNA	377	1913	2152	2195	1
PB1_vRNA	383	2034	2160	2203	2
PB1_vRNA	385	2023	2152	2195	1
PB1_vRNA	392	2034	2152	2195	1
PB1_vRNA	392	2034	2274	2286	1
PB1_vRNA	409	2114	2152	2195	5
PB1_vRNA	435	482	576	1809	14
PB1_vRNA	435	482	1915	1965	6
PB1_vRNA	435	482	2053	2076	4
PB1_vRNA	443	1973	2060	2076	1
PB1_vRNA	534	2072	2152	2195	26
PB1_vRNA	534	2072	2274	2286	1
PB1_vRNA	534	2072	2274	2287	6
PB1_vRNA	551	1889	1931	1966	1
PB1_vRNA	551	1889	1938	2008	2
PB1_vRNA	576	1809	1915	1965	13
PB1_vRNA	576	1809	2053	2076	10
PB1_vRNA	592	634	713	1958	22
PB1_vRNA	620	663	728	1721	3
PB1_vRNA	855	1072	1123	1405	1
PB1_vRNA	1811	2058	2152	2195	1
PB1_vRNA	1915	1965	2053	2076	20
PB1_vRNA	1993	2087	2274	2286	3
PB1_vRNA	1993	2087	2275	2287	1
PB1_vRNA	1993	2087	2275	2288	1
PB1_vRNA	2150	2197	2278	2290	1
PB1_vRNA	2152	2195	2274	2286	36
PB1_vRNA	2152	2195	2274	2287	425
PB1_vRNA	2152	2195	2275	2287	1
PB1_vRNA	2152	2195	2275	2288	2
PB1_vRNA	2152	2198	2274	2286	1
PB1_vRNA	2152	2198	2274	2287	1
PB1_vRNA	2152	2198	2277	2290	1
PB1_vRNA	2153	2196	2275	2288	1
PB2_vRNA	113	185	208	2150	1
PB2_vRNA	113	185	309	2069	1
PB2_vRNA	113	185	416	2050	1
PB2_vRNA	153	221	393	2205	5
PB2_vRNA	163	381	443	1942	1
PB2_vRNA	164	310	443	1942	1
PB2_vRNA	164	310	511	1830	1
PB2_vRNA	166	212	330	406	83
PB2_vRNA	166	212	551	1789	23
PB2_vRNA	166	212	1984	2016	5
PB2_vRNA	201	2150	2211	2247	1
PB2_vRNA	202	2151	2212	2248	1
PB2_vRNA	204	2154	2211	2247	8
PB2_vRNA	204	2155	2211	2247	1
PB2_vRNA	205	2153	2200	2232	1
PB2_vRNA	205	2153	2208	2244	1
PB2_vRNA	205	2153	2211	2247	6331
PB2_vRNA	205	2153	2212	2248	9
PB2_vRNA	206	2152	2211	2247	5
PB2_vRNA	206	2154	2212	2248	4
PB2_vRNA	207	2157	2211	2247	1
PB2_vRNA	208	2150	2211	2247	9
PB2_vRNA	208	2154	2211	2247	3
PB2_vRNA	208	2156	2214	2250	1
PB2_vRNA	209	2157	2211	2247	1
PB2_vRNA	210	280	516	1866	1
PB2_vRNA	211	307	309	2069	1
PB2_vRNA	214	284	309	2069	3
PB2_vRNA	214	284	389	1956	1
PB2_vRNA	214	284	443	1942	3
PB2_vRNA	214	284	511	1830	1
PB2_vRNA	214	284	579	1873	1
PB2_vRNA	214	284	685	1828	1
PB2_vRNA	217	2206	2211	2247	1
PB2_vRNA	226	265	309	2069	1
PB2_vRNA	232	2196	2227	2263	1
PB2_vRNA	251	424	443	1942	1
PB2_vRNA	265	302	309	2069	2
PB2_vRNA	266	2170	2211	2247	2
PB2_vRNA	270	2186	2211	2247	6
PB2_vRNA	330	406	551	1789	86
PB2_vRNA	330	406	1984	2016	23
PB2_vRNA	443	1942	2004	2059	1
PB2_vRNA	468	1326	1601	1633	2
PB2_vRNA	499	1286	1430	2249	1
PB2_vRNA	506	1924	2077	2094	1
PB2_vRNA	537	1782	1826	1937	1
PB2_vRNA	551	1789	1984	2016	86
PB2_vRNA	582	609	690	1909	1
PB2_vRNA	707	833	941	1619	1
PB2_vRNA	741	1783	1826	1937	1
PB2_vRNA	1601	1633	1852	1868	1
