segment	fivePrime	threePrime	counts
NP_vRNA	548	866	0
PB2_vRNA	200	2120	0
PB2_vRNA	608	1893	0
PA_vRNA	456	1831	0
NP_vRNA	508	1168	0
M_vRNA	389	573	0
PA_vRNA	656	2151	0
PB1_vRNA	479	2043	0
HA_vRNA	1078	1148	1
PA_vRNA	381	1906	0
PB2_vRNA	389	2015	0
M_vRNA	185	423	0
PB2_vRNA	389	2020	6
PB1_vRNA	315	2143	1
PB1_vRNA	466	1941	0
HA_vRNA	674	748	0
NA_vRNA	384	1041	0
NA_vRNA	502	1052	34
PB2_vRNA	1259	2196	0
PB1_vRNA	299	2149	0
PB2_vRNA	328	340	1
PB1_vRNA	451	2024	0
PA_vRNA	380	1958	0
PB1_vRNA	385	2059	0
NA_vRNA	1194	1241	1
M_vRNA	598	630	1
PA_vRNA	712	1552	0
NS_vRNA	388	426	0
PA_vRNA	526	1644	0
PA_vRNA	356	1986	0
PA_vRNA	745	1542	0
NP_vRNA	780	1120	0
PB2_vRNA	198	2059	2
PB2_vRNA	306	2009	0
PA_vRNA	166	688	0
PA_vRNA	583	1836	0
PB1_vRNA	185	2132	0
NP_vRNA	938	1165	0
PA_vRNA	352	1953	0
PA_vRNA	538	1917	0
NA_vRNA	1092	1175	1
PB1_vRNA	983	1152	0
PB2_vRNA	1642	2101	1
PB2_vRNA	231	2201	0
PB2_vRNA	493	1933	19
PB2_vRNA	946	2051	1
PA_vRNA	450	1824	2
HA_vRNA	944	969	0
M_vRNA	373	434	2
NP_vRNA	259	307	0
PA_vRNA	1021	1256	0
PB2_vRNA	207	2149	0
PA_vRNA	382	1965	0
PB2_vRNA	603	1715	0
NP_vRNA	334	1100	0
PB2_vRNA	452	1976	0
PB2_vRNA	393	970	0
PB2_vRNA	307	2112	0
NP_vRNA	421	1142	0
PB2_vRNA	609	1810	0
PB1_vRNA	355	2195	1
PB1_vRNA	433	2074	0
PA_vRNA	117	179	0
PB1_vRNA	411	2169	0
NP_vRNA	898	1160	1
PB1_vRNA	743	1839	0
M_vRNA	180	305	1
M_vRNA	488	527	0
PB2_vRNA	239	2208	1
PB1_vRNA	2014	2082	0
PB2_vRNA	516	1951	0
PA_vRNA	245	1581	0
PA_vRNA	421	1908	0
M_vRNA	280	636	0
PB2_vRNA	884	1161	1
PA_vRNA	939	1345	1
NS_vRNA	242	719	2
PA_vRNA	497	1882	6
PA_vRNA	677	1714	0
PB2_vRNA	166	212	111
PB1_vRNA	283	1919	0
PB2_vRNA	455	2049	0
PB1_vRNA	355	2157	2
PA_vRNA	377	2006	0
PB2_vRNA	608	1948	0
NS_vRNA	734	761	0
PB1_vRNA	1990	2018	0
M_vRNA	682	723	0
PA_vRNA	301	2043	0
HA_vRNA	441	1546	1
PB1_vRNA	2146	2193	1
PB1_vRNA	498	1869	0
NP_vRNA	555	1137	0
PB1_vRNA	494	2133	0
PA_vRNA	604	1669	2
PA_vRNA	179	2054	0
PB2_vRNA	1110	1651	0
M_vRNA	811	833	0
NP_vRNA	312	1311	0
NP_vRNA	951	1221	0
PA_vRNA	297	1988	0
PB2_vRNA	1313	2064	2
PA_vRNA	940	1011	0
PB2_vRNA	267	2211	0
NP_vRNA	267	1394	0
PB2_vRNA	368	2010	0
NP_vRNA	148	1120	0
PB2_vRNA	704	2083	0
PA_vRNA	299	364	0
PA_vRNA	263	2027	0
HA_vRNA	176	1551	0
NA_vRNA	434	708	1
PA_vRNA	162	1857	2
PB1_vRNA	409	2114	61
PB2_vRNA	762	1722	0
PA_vRNA	595	1192	3
PB1_vRNA	374	1994	0
PA_vRNA	695	1778	0
PB1_vRNA	552	1890	2
PB2_vRNA	342	1966	0
PA_vRNA	1277	2091	0
HA_vRNA	592	1276	0
HA_vRNA	315	1625	0
PA_vRNA	409	1983	0
PA_vRNA	102	291	0
PB1_vRNA	390	2054	0
PB2_vRNA	703	891	0
NP_vRNA	1148	1327	0
HA_vRNA	513	1186	0
PB1_vRNA	426	1932	0
NA_vRNA	484	998	0
NA_vRNA	172	1078	0
PB1_vRNA	313	2160	20
PA_vRNA	171	1653	0
PA_vRNA	585	1596	0
PA_vRNA	599	1158	1
NA_vRNA	753	776	0
PB2_vRNA	513	2026	0
PA_vRNA	511	1822	0
NS_vRNA	667	721	0
PB1_vRNA	804	1711	0
PB2_vRNA	1235	1261	1
PB2_vRNA	285	2127	0
PB1_vRNA	249	2135	0
NA_vRNA	291	1161	1
PA_vRNA	1361	1913	2
PB1_vRNA	293	2141	0
PB2_vRNA	165	2228	0
PA_vRNA	382	641	0
PB1_vRNA	548	1886	1
PA_vRNA	537	1714	0
PA_vRNA	124	471	0
NP_vRNA	432	845	0
PB1_vRNA	415	1883	0
NA_vRNA	147	1321	1
PB2_vRNA	323	1982	168
PB2_vRNA	621	1825	0
PB1_vRNA	657	1818	0
PA_vRNA	409	2044	0
PB2_vRNA	748	1934	0
PB2_vRNA	1292	1934	0
PB2_vRNA	267	2098	94
PB2_vRNA	1430	2250	0
PA_vRNA	436	1963	0
PA_vRNA	334	2049	0
PA_vRNA	1168	1610	0
PB1_vRNA	335	2184	1
PA_vRNA	526	1691	0
PA_vRNA	724	843	0
NP_vRNA	794	1333	1
PA_vRNA	245	2064	123
PB2_vRNA	1509	1798	0
NP_vRNA	1226	1333	1
PA_vRNA	538	1877	0
PA_vRNA	1969	2045	3
M_vRNA	431	663	0
PB2_vRNA	243	892	0
PA_vRNA	253	2012	0
NA_vRNA	254	1023	0
NP_vRNA	1023	1055	1
NA_vRNA	255	468	1
PB1_vRNA	2060	2076	1
PB2_vRNA	283	2102	435
PB1_vRNA	745	1679	0
PB1_vRNA	313	1878	0
PA_vRNA	308	2022	0
PB2_vRNA	239	2134	0
HA_vRNA	270	1116	0
PB1_vRNA	463	1895	0
PB1_vRNA	947	1661	0
NS_vRNA	333	397	0
PA_vRNA	518	590	0
PB1_vRNA	854	2207	1
PB2_vRNA	568	623	0
PA_vRNA	842	1430	0
PA_vRNA	928	1715	1
PB2_vRNA	486	1714	0
NA_vRNA	521	936	0
PB2_vRNA	746	1585	0
NA_vRNA	389	775	0
PB2_vRNA	194	2162	0
PA_vRNA	43	1932	1
PA_vRNA	711	775	0
PB1_vRNA	730	1763	1
PB1_vRNA	384	2038	0
PA_vRNA	223	2031	0
NA_vRNA	281	343	0
NP_vRNA	362	1121	0
PA_vRNA	453	1831	0
PA_vRNA	334	1841	189
PB2_vRNA	331	2094	0
M_vRNA	433	515	0
PA_vRNA	691	1815	0
PA_vRNA	563	1826	0
PB2_vRNA	314	2119	0
PB1_vRNA	202	2180	8
NP_vRNA	510	1097	0
PB1_vRNA	622	1784	0
PB1_vRNA	372	2072	37
PA_vRNA	526	1825	0
NP_vRNA	239	1386	0
PB2_vRNA	516	1983	3
HA_vRNA	312	1479	0
NA_vRNA	401	1063	0
PB1_vRNA	265	2209	0
PB2_vRNA	1098	1512	3
PB2_vRNA	494	868	0
PA_vRNA	282	2026	0
PB2_vRNA	395	889	0
PA_vRNA	379	1954	1
PB2_vRNA	1397	1451	0
PB1_vRNA	297	2112	0
PA_vRNA	343	416	0
PA_vRNA	1461	1477	0
PB2_vRNA	343	2146	0
PA_vRNA	224	1977	0
PA_vRNA	452	1907	0
PA_vRNA	1162	1274	0
HA_vRNA	280	532	0
PB1_vRNA	844	873	1
PA_vRNA	437	2069	0
PB1_vRNA	575	2015	0
NP_vRNA	896	1203	0
PB2_vRNA	277	2015	1527
PB2_vRNA	257	2113	0
PA_vRNA	61	1007	0
PB1_vRNA	437	2056	0
NP_vRNA	854	1138	2
PA_vRNA	437	1977	1
PB1_vRNA	688	1880	0
M_vRNA	208	638	2
NP_vRNA	321	949	0
NA_vRNA	299	1127	0
PA_vRNA	783	1542	8
HA_vRNA	670	1100	0
NA_vRNA	873	1014	0
PB2_vRNA	891	1012	0
PB2_vRNA	278	2121	0
PA_vRNA	378	1959	0
PB2_vRNA	244	2011	0
PB1_vRNA	458	1933	0
HA_vRNA	592	1460	4
NA_vRNA	810	938	0
PB2_vRNA	217	287	0
PA_vRNA	289	1994	0
PB2_vRNA	1242	1255	0
NA_vRNA	272	562	0
NP_vRNA	910	949	0
PA_vRNA	367	1885	0
PA_vRNA	329	1979	1
PB2_vRNA	568	1789	0
PB1_vRNA	977	2101	0
PB1_vRNA	641	1796	0
PB2_vRNA	330	2036	11
NP_vRNA	549	1040	0
HA_vRNA	1249	1517	0
PB2_vRNA	701	882	0
PA_vRNA	690	1022	0
PB2_vRNA	655	1926	0
PA_vRNA	329	2006	0
PB2_vRNA	278	2016	0
PB1_vRNA	307	2126	0
PB1_vRNA	465	2004	0
NA_vRNA	168	328	0
PA_vRNA	268	2003	0
NA_vRNA	348	472	2
NA_vRNA	939	966	0
PA_vRNA	746	863	1
PB2_vRNA	1039	1191	0
PA_vRNA	343	1944	0
HA_vRNA	576	1515	0
PA_vRNA	394	1983	0
NA_vRNA	134	1371	0
PA_vRNA	454	1972	0
PB1_vRNA	393	2055	0
PA_vRNA	296	2040	0
PB2_vRNA	510	2122	0
M_vRNA	666	866	1
PB1_vRNA	510	1921	0
PB2_vRNA	367	1049	0
PA_vRNA	838	1543	0
PA_vRNA	582	1168	0
PB2_vRNA	601	1828	13
PA_vRNA	408	1935	0
NA_vRNA	901	926	1
PB2_vRNA	1480	1527	0
HA_vRNA	305	455	0
PA_vRNA	440	1820	0
PA_vRNA	645	1106	0
NP_vRNA	249	1359	0
PA_vRNA	310	2111	0
HA_vRNA	277	1599	0
NP_vRNA	887	1199	1
NA_vRNA	449	959	0
PA_vRNA	376	2002	0
PA_vRNA	1803	1824	0
PA_vRNA	479	1311	1
NA_vRNA	442	553	0
PA_vRNA	259	2014	0
PB2_vRNA	909	951	0
PB2_vRNA	1114	1508	0
PB2_vRNA	1447	1489	0
PA_vRNA	350	2018	0
PA_vRNA	1135	1593	0
NA_vRNA	263	372	1
NA_vRNA	931	993	0
PB2_vRNA	716	897	0
NA_vRNA	512	935	0
PB2_vRNA	377	2075	0
PA_vRNA	389	1947	0
NP_vRNA	383	1197	0
HA_vRNA	269	521	1
NP_vRNA	405	1210	0
PA_vRNA	361	1969	0
PB2_vRNA	586	1809	0
HA_vRNA	191	877	0
PA_vRNA	426	2047	1
PA_vRNA	481	1911	0
HA_vRNA	277	1576	0
PA_vRNA	209	2164	0
PB2_vRNA	902	1547	0
NP_vRNA	691	1046	1
PA_vRNA	543	1823	1
PB1_vRNA	168	2136	0
PB2_vRNA	231	2195	0
PA_vRNA	1899	1948	0
PA_vRNA	289	2057	0
PB1_vRNA	1243	1307	0
M_vRNA	437	644	0
PB1_vRNA	622	1795	0
NA_vRNA	371	1222	0
PB2_vRNA	438	2023	0
PB2_vRNA	178	2181	0
PA_vRNA	537	1731	0
PA_vRNA	356	1919	0
PB1_vRNA	255	2098	0
HA_vRNA	990	1064	0
PA_vRNA	396	2032	0
NP_vRNA	1333	1404	0
PB2_vRNA	490	1873	0
PA_vRNA	644	1553	0
PB2_vRNA	208	285	0
PB1_vRNA	951	1468	0
PA_vRNA	641	1580	0
PA_vRNA	257	2051	29
PA_vRNA	672	1894	0
NA_vRNA	260	437	2
PA_vRNA	557	1662	0
PA_vRNA	236	2069	2
PA_vRNA	476	1869	0
NP_vRNA	938	968	0
PB1_vRNA	245	856	1
M_vRNA	905	954	0
NA_vRNA	734	1116	0
PA_vRNA	628	1595	5
PB1_vRNA	245	2231	0
PB1_vRNA	303	2087	0
PB1_vRNA	372	1998	0
PB2_vRNA	474	1910	0
NP_vRNA	141	1269	0
PA_vRNA	520	1517	1
NA_vRNA	289	642	0
PA_vRNA	273	2046	0
PA_vRNA	455	1779	0
PA_vRNA	299	2110	0
PA_vRNA	351	1886	0
PB2_vRNA	268	2137	0
PB1_vRNA	769	1768	0
NA_vRNA	275	1225	1
PA_vRNA	1435	1642	0
PB2_vRNA	1209	1260	0
NP_vRNA	138	1128	2
PB2_vRNA	1201	1248	0
PB2_vRNA	407	2173	0
PA_vRNA	68	1610	0
PB2_vRNA	185	2174	1
PB2_vRNA	506	1922	2
PA_vRNA	322	1982	0
PB2_vRNA	874	943	0
PB2_vRNA	539	665	1
PB2_vRNA	312	2180	0
PA_vRNA	318	1997	0
NP_vRNA	679	890	1
PB1_vRNA	621	2064	596
PA_vRNA	594	1717	0
PB1_vRNA	296	1758	0
PA_vRNA	819	868	0
PB2_vRNA	512	1753	41
PA_vRNA	481	1109	1
M_vRNA	205	391	0
NA_vRNA	925	1008	0
PB1_vRNA	407	2027	0
NP_vRNA	280	1438	0
PA_vRNA	908	1346	0
PB1_vRNA	728	1721	4
PB2_vRNA	241	1073	0
PB2_vRNA	593	1837	0
PA_vRNA	256	2016	185
PA_vRNA	495	2016	0
PA_vRNA	838	1534	0
NA_vRNA	477	978	1
NP_vRNA	380	1064	0
PB2_vRNA	1298	1365	1
PB1_vRNA	460	1937	0
PB2_vRNA	495	1978	0
PB1_vRNA	398	2186	0
NA_vRNA	381	1298	0
NA_vRNA	509	921	4
PA_vRNA	234	2112	0
NA_vRNA	378	1038	0
PA_vRNA	543	1643	0
PB2_vRNA	861	2145	0
PB1_vRNA	240	2127	1
PB1_vRNA	291	2163	1
PB2_vRNA	689	1833	0
PB2_vRNA	488	2147	0
PB1_vRNA	435	2043	0
NS_vRNA	268	301	0
PA_vRNA	307	1994	6239
PA_vRNA	292	1940	0
M_vRNA	234	729	0
PA_vRNA	951	1000	0
M_vRNA	268	509	0
PB2_vRNA	1417	1456	3
PA_vRNA	508	1826	0
NA_vRNA	332	1146	0
NS_vRNA	250	637	0
PA_vRNA	356	1931	0
PB1_vRNA	1373	1414	0
PB2_vRNA	542	1926	2
NP_vRNA	164	1104	0
PB1_vRNA	1961	2005	0
PB2_vRNA	307	2101	0
HA_vRNA	697	1327	0
PA_vRNA	619	1656	0
PB1_vRNA	439	1970	2
PB1_vRNA	498	2137	0
NA_vRNA	474	938	0
NP_vRNA	248	1432	0
PB1_vRNA	289	2144	0
HA_vRNA	329	1515	0
PB2_vRNA	290	2168	0
PA_vRNA	634	1723	2
NA_vRNA	98	599	0
PB2_vRNA	611	1821	0
NA_vRNA	290	1190	0
HA_vRNA	617	1253	1
PB1_vRNA	115	593	1
NP_vRNA	536	1120	0
PA_vRNA	409	1873	0
PB1_vRNA	445	1975	0
PB2_vRNA	242	2236	0
PA_vRNA	475	1830	0
PB2_vRNA	333	2052	0
PA_vRNA	446	1884	0
PA_vRNA	470	1163	0
PB2_vRNA	266	2241	1
PB1_vRNA	587	1890	0
NP_vRNA	924	950	1
PA_vRNA	331	2013	3
PB1_vRNA	380	2179	0
PA_vRNA	294	2052	5
PA_vRNA	350	1915	0
NS_vRNA	557	631	5
PB1_vRNA	194	2067	0
PA_vRNA	290	2031	0
PB2_vRNA	585	1928	0
PA_vRNA	636	1644	0
HA_vRNA	795	988	0
HA_vRNA	752	1176	0
PB2_vRNA	588	622	0
NS_vRNA	293	320	2
PB2_vRNA	334	2102	0
PA_vRNA	564	1897	0
HA_vRNA	1072	1475	0
PB1_vRNA	446	1971	0
PB2_vRNA	2212	2248	24
NP_vRNA	563	1075	0
NP_vRNA	272	1283	0
PA_vRNA	139	326	0
NP_vRNA	144	993	1
PB1_vRNA	459	2062	0
PB1_vRNA	491	1903	0
PB2_vRNA	391	661	0
NP_vRNA	937	1093	0
PB2_vRNA	473	2022	0
NP_vRNA	724	797	0
PB1_vRNA	530	1901	0
PB2_vRNA	438	1968	0
PB1_vRNA	774	1641	0
NA_vRNA	526	1065	2
PA_vRNA	309	2029	0
PB2_vRNA	1557	2071	0
PA_vRNA	259	2012	0
HA_vRNA	370	1561	0
PB2_vRNA	697	894	0
NA_vRNA	632	1021	0
PB1_vRNA	1161	1683	0
PB1_vRNA	377	2043	0
NA_vRNA	879	1020	0
PA_vRNA	428	2057	0
PB2_vRNA	312	2181	0
PB2_vRNA	441	1940	9
PB1_vRNA	233	307	21
NS_vRNA	279	442	0
PB1_vRNA	189	2210	6
PB2_vRNA	1543	2056	0
PB2_vRNA	559	1433	2
NP_vRNA	568	1172	0
M_vRNA	281	402	2
PB2_vRNA	569	1876	0
PB2_vRNA	334	2078	0
NA_vRNA	1038	1070	0
PB1_vRNA	144	964	1
PB1_vRNA	531	1879	0
NP_vRNA	503	1024	0
PB1_vRNA	483	1933	0
PB2_vRNA	321	2084	0
PA_vRNA	267	1977	0
NA_vRNA	171	1308	2
NS_vRNA	478	522	1
M_vRNA	826	857	1
NA_vRNA	875	1037	1
PB2_vRNA	707	833	1
PB2_vRNA	270	861	0
PB2_vRNA	1697	1782	0
PB1_vRNA	632	1893	0
PB1_vRNA	466	1965	0
PA_vRNA	574	642	0
PB2_vRNA	313	2110	0
PB1_vRNA	1246	1272	1
HA_vRNA	940	1442	0
NP_vRNA	535	687	0
PA_vRNA	243	2001	3
PB2_vRNA	278	2197	0
PA_vRNA	333	2045	0
PB1_vRNA	480	1835	0
PB1_vRNA	643	1870	0
PB2_vRNA	460	1998	0
PB2_vRNA	504	2004	0
NP_vRNA	952	1090	0
PA_vRNA	1089	2016	0
PB1_vRNA	567	1957	4
PB1_vRNA	179	2249	0
PB2_vRNA	286	2167	0
PB2_vRNA	967	1116	0
NA_vRNA	957	1005	0
PA_vRNA	208	2056	1
PA_vRNA	462	1788	0
PB2_vRNA	692	725	0
PB1_vRNA	1082	1213	0
PB2_vRNA	1072	1290	0
PA_vRNA	452	1878	2191
HA_vRNA	622	1363	0
PA_vRNA	407	1870	3
PA_vRNA	366	1990	0
PA_vRNA	462	1718	0
PB2_vRNA	478	1357	0
NA_vRNA	675	883	0
PB2_vRNA	447	487	0
NP_vRNA	348	470	0
PB1_vRNA	256	1980	0
PB2_vRNA	823	853	0
PA_vRNA	1135	1224	0
PA_vRNA	334	2053	0
PB1_vRNA	437	1979	0
PB2_vRNA	455	2008	0
NP_vRNA	191	1367	6
PB1_vRNA	197	2236	3
PB2_vRNA	216	2172	0
HA_vRNA	539	1439	0
PB2_vRNA	451	2016	0
NP_vRNA	644	795	1
PB2_vRNA	154	2121	0
NP_vRNA	938	1119	0
HA_vRNA	267	539	0
PA_vRNA	233	608	0
PB1_vRNA	743	1987	0
NP_vRNA	938	1037	0
PB2_vRNA	373	1247	0
PB1_vRNA	721	1809	0
PA_vRNA	416	2053	0
NP_vRNA	506	1177	0
PB1_vRNA	465	1512	0
PB1_vRNA	1811	2058	1
PB1_vRNA	528	2019	0
PA_vRNA	471	1845	0
PB1_vRNA	360	2009	0
HA_vRNA	183	556	0
NP_vRNA	201	277	0
NA_vRNA	583	1210	0
NS_vRNA	337	800	0
PB2_vRNA	1454	1496	3
PA_vRNA	426	1894	0
PB2_vRNA	839	1292	0
PB2_vRNA	495	1935	0
PB2_vRNA	517	542	0
PB1_vRNA	576	1809	24
NS_vRNA	230	701	0
PB1_vRNA	442	1973	0
HA_vRNA	657	679	0
PB1_vRNA	648	1775	0
PA_vRNA	261	2002	0
PB2_vRNA	488	2023	0
PA_vRNA	612	1240	0
NP_vRNA	413	1204	2
NP_vRNA	324	1089	0
PA_vRNA	269	1951	0
HA_vRNA	810	1067	0
PA_vRNA	414	1980	79
PA_vRNA	293	2049	44
PB2_vRNA	337	2107	0
PB1_vRNA	433	1582	0
PA_vRNA	704	1643	0
PA_vRNA	1130	1338	0
NP_vRNA	440	1117	0
NP_vRNA	400	1311	0
PA_vRNA	242	1790	2
PA_vRNA	1918	1944	0
PA_vRNA	443	1999	0
PB2_vRNA	214	284	43
PB2_vRNA	288	2180	0
PA_vRNA	424	1862	1
PA_vRNA	265	2052	0
PB2_vRNA	753	1728	0
PA_vRNA	526	1823	0
PA_vRNA	600	1763	2
PB2_vRNA	945	1165	0
NP_vRNA	939	1005	0
HA_vRNA	639	732	0
PB2_vRNA	273	2220	1090
HA_vRNA	1216	1247	0
PB1_vRNA	531	1854	0
NA_vRNA	486	952	0
PB1_vRNA	529	2034	0
PA_vRNA	579	1771	0
NA_vRNA	466	1326	0
PB2_vRNA	351	1474	0
PB1_vRNA	820	1752	0
PB1_vRNA	620	2063	1
PB2_vRNA	598	2009	0
PA_vRNA	389	1960	0
PB1_vRNA	258	2138	0
NP_vRNA	903	1197	0
PA_vRNA	437	1960	0
NP_vRNA	906	1041	0
PA_vRNA	329	2022	0
NA_vRNA	690	708	0
PA_vRNA	311	2041	0
NP_vRNA	390	423	0
NA_vRNA	151	625	11
NP_vRNA	343	642	1
HA_vRNA	944	1470	0
NP_vRNA	723	792	1
PB2_vRNA	242	2203	0
PB1_vRNA	347	2136	0
NP_vRNA	206	1412	0
M_vRNA	551	639	0
PB1_vRNA	441	1972	0
PB2_vRNA	245	2188	12
NS_vRNA	397	537	1
PB2_vRNA	499	1286	1
PB2_vRNA	1769	2270	1
PB2_vRNA	528	1871	0
PB2_vRNA	478	1845	0
PB1_vRNA	356	2053	0
PA_vRNA	434	1869	0
PB2_vRNA	267	2181	41
PA_vRNA	309	1996	1
PA_vRNA	708	1675	0
PA_vRNA	746	1574	0
PB2_vRNA	267	2222	0
PA_vRNA	210	2073	0
PB1_vRNA	883	1718	0
PB1_vRNA	309	2161	0
NA_vRNA	1185	1226	1
PB1_vRNA	1847	1882	0
PB2_vRNA	389	2211	0
PB2_vRNA	966	1004	0
PA_vRNA	557	1955	0
NA_vRNA	436	1096	0
PA_vRNA	922	1374	0
NP_vRNA	669	730	0
HA_vRNA	307	356	0
PA_vRNA	471	1869	0
M_vRNA	273	439	1
PA_vRNA	221	2110	0
PA_vRNA	350	1983	0
PB1_vRNA	451	2005	0
PB1_vRNA	265	2127	0
PA_vRNA	452	1985	0
PA_vRNA	398	1997	0
PB1_vRNA	309	2154	27259
NA_vRNA	333	1129	1
PB1_vRNA	445	1596	0
PA_vRNA	809	1714	0
M_vRNA	593	629	8
NA_vRNA	563	1072	0
HA_vRNA	180	223	0
PB2_vRNA	770	1697	0
PA_vRNA	407	2106	0
PB1_vRNA	977	1150	0
PB2_vRNA	1561	2105	0
PB2_vRNA	453	1834	3
PA_vRNA	594	1760	2
PA_vRNA	471	1851	0
HA_vRNA	647	1425	0
PB2_vRNA	1079	1460	0
PB2_vRNA	192	2204	1
PA_vRNA	150	1720	0
PA_vRNA	284	2030	0
PB2_vRNA	445	1944	0
PA_vRNA	611	1098	2
PB1_vRNA	327	2049	1
PB2_vRNA	567	1995	0
PB2_vRNA	292	2158	0
PB2_vRNA	279	2152	45
PB2_vRNA	314	2060	0
PB1_vRNA	146	348	2
PA_vRNA	391	2014	0
PA_vRNA	1043	1070	0
PB2_vRNA	510	1748	0
PB2_vRNA	550	1853	0
PB2_vRNA	350	2019	0
HA_vRNA	394	444	4
PB1_vRNA	700	1768	0
PA_vRNA	328	2012	1
PB1_vRNA	270	2177	0
PB1_vRNA	484	2020	0
PB2_vRNA	389	1956	454
PB2_vRNA	885	2053	0
PB2_vRNA	326	404	0
PA_vRNA	195	1937	13
PB2_vRNA	320	1969	18
PA_vRNA	490	1833	0
PB2_vRNA	647	1805	0
PB1_vRNA	538	798	0
PB2_vRNA	341	2142	531
PA_vRNA	245	2089	0
PA_vRNA	758	1426	0
NA_vRNA	213	1277	0
PA_vRNA	392	1959	0
PB1_vRNA	1768	1786	0
PA_vRNA	398	2045	1
PA_vRNA	524	1868	0
PB2_vRNA	341	2065	0
NA_vRNA	473	535	0
NA_vRNA	320	1139	0
PA_vRNA	434	1629	0
PB2_vRNA	272	1843	0
NA_vRNA	200	1145	7
PA_vRNA	140	1161	0
M_vRNA	349	627	0
NA_vRNA	485	717	1
PA_vRNA	436	1819	0
PA_vRNA	696	1883	3
PA_vRNA	50	919	0
PB2_vRNA	575	617	0
PB2_vRNA	707	2051	1
HA_vRNA	1067	1157	0
